article,template,kind,identifier,claimed_title,verdict,authority,detail
Bob Stewart (communist),web,bibliographic,,"Desmond Greaves Journal, Vol.18,1966-67",verified,crossref,matched a Crossref record by title search (86% similarity); no DOI given in document
Bob Stewart (communist),book,bibliographic,,Historical Dictionary of British Intelligence,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Bob Stewart (communist),web,bibliographic,,"Desmond Greaves Journal, Vol.19,1967-68",verified,crossref,matched a Crossref record by title search (86% similarity); no DOI given in document
Bob Stewart (communist),news,bibliographic,,Police raid: Women Communists surprised. Delegates and their nationality,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'The Night of the Police Raid' at 63% similarity, below the threshold for a match."
William Playfair,journal,doi,10.2307/2590263,"W. Playfair, the Earliest Theorist of Capitalist Development",verified,crossref,title matches record (100% similarity)
William Playfair,book,bibliographic,,The Flawed Genius of William Playfair,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
William Playfair,book,bibliographic,,Playfair: The True Story of the British Secret Agent Who Changed How We See the World,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'How Should we talk about Student Drinking —and what Should we do about It?' at 47% similarity, below the threshold for a match."
William Playfair,book,doi,10.4324/9781315585680,Information Design: Research and Practice,verified,crossref,title matches record (100% similarity)
William Playfair,book,bibliographic,,A Handbook of Statistical Graphics Using SAS ODS,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
William Playfair,book,bibliographic,,Playfair's Commercial and Political Atlas and Statistical Breviary,verified,crossref,matched a Crossref record by title search (76% similarity); no DOI given in document
William Playfair,book,bibliographic,,"The Statesman's Yearbook 2023: The Politics, Cultures and Economies of the World",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Afghanistan' at 17% similarity, below the threshold for a match."
William Playfair,web,bibliographic,,The World Factbook - the World Factbook,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Galactic Bridges and Tails,journal,doi,10.1086/151823,Galactic Bridges and Tails,verified,crossref,title matches record (100% similarity)
Galactic Bridges and Tails,web,bibliographic,,Galactic Bridges and Tails (Film Restoration),not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Off–specular neutron scattering from islands on a lamellar film' at 47% similarity, below the threshold for a match."
Galactic Bridges and Tails,web,bibliographic,,Spiral Galaxy Formation Simulation Using Embedded MATLAB Functions,verified,crossref,matched a Crossref record by title search (90% similarity); no DOI given in document
Galactic Bridges and Tails,web,bibliographic,,'Galactic Bridges and Tails' or 'Simulations-A-Plenty',not_found,crossref+openalex,"no indexed record matches this description. Closest was 'A Framework for Coupled Simulations of Robots and Spiking Neuronal Networks' at 51% similarity, below the threshold for a match."
Otto Folin,web,bibliographic,,Otto Folin: A biographical memoir by P.A. Shaffer,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Otto Folin,journal,doi,10.1093/clinchem/31.8.1402,Otto Folin's Medica Legacy,verified,crossref,title matches record (98% similarity)
Otto Folin,web,bibliographic,,"Otto Folin 1867—1934, A Biographical Memoir",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Otto Folin,web,bibliographic,,Olof Hammarsten,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Otto Folin,web,bibliographic,,Luminaries in Laboratory Medicine: Otto Folin,verified,openalex,"not found in Crossref, but OpenAlex holds a matching article (100% title similarity)"
Otto Folin,web,bibliographic,,"Otto Folin's Decade in Minnesota 1882-1892 A Brief Review (Meites, Samuel. Clinical Chemistry, volume 28, issue 10, pages 2173–2177. 1982) Clinical chemistry, Vol 28, No 10, 1982",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Otto Folin,web,bibliographic,,ASBMB Past Presidents. 1909 – Otto K. O. Folin,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Battle of Abbeville,book,bibliographic,,The Battle for France & Flanders Sixty Years On,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'The Battle for the Beach' at 82% similarity, below the threshold for a match."
Battle of Abbeville,journal,bibliographic,,Le Mois Terrible: La Bataille d'Abbeville,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Le mystère des géants' at 46% similarity, below the threshold for a match."
Battle of Abbeville,book,bibliographic,,Why France Collapsed,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Battle of Abbeville,book,bibliographic,,"The German Army 1933–1945, its Political and Military Failure",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Battle of Abbeville,book,bibliographic,,The War in France and Flanders 1939–1940,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Battle of Abbeville,book,bibliographic,,Case Red: The Collapse of France,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Case Green' at 57% similarity, below the threshold for a match."
Battle of Abbeville,book,bibliographic,,The Blitzkrieg Legend,verified,crossref,matched a Crossref record by title search (92% similarity); no DOI given in document
Battle of Abbeville,book,bibliographic,,The Fall and France: The Nazi Invasion of 1940,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Buyla inscription,book,bibliographic,,Fifty Early Medieval Things,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Buyla inscription,book,bibliographic,,"Daēnā to Dîn: Religion, Kultur und Sprache in der iranischen Welt",verified,openalex,"not found in Crossref, but OpenAlex holds a matching article (100% title similarity)"
Buyla inscription,book,bibliographic,,Intelligible Beauty: Recent Research on Byzantine Jewellery,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Small Masks on Migration Period jewellery.' at 51% similarity, below the threshold for a match."
Buyla inscription,book,bibliographic,,Епиграфски приноси,not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Buyla inscription,book,bibliographic,,Die protobulgarischen Inschriften,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Buyla inscription,journal,doi,10.1515/9783110242539.111,Aksl. župa 'Bezirk',verified,crossref,title matches record (100% similarity)
Buyla inscription,journal,doi,10.1515/if-1909-0118,Über Etymologische Anarchie,verified,crossref,title matches record (100% similarity)
Buyla inscription,book,bibliographic,,"Southeastern Europe in the Middle Ages, 500-1250",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Metepeira labyrinthea,book,bibliographic,,"University of Kansas, Museum of Natural History",verified,openalex,"not found in Crossref, but OpenAlex holds a matching article (100% title similarity)"
Metepeira labyrinthea,web,bibliographic,,Labyrinth Spider,verified,openalex,"not found in Crossref, but OpenAlex holds a matching article (100% title similarity)"
Metepeira labyrinthea,journal,bibliographic,,Bull. Mus. Comp. Zool,verified,openalex,"not found in Crossref, but OpenAlex holds a matching article (100% title similarity)"
Metepeira labyrinthea,book,bibliographic,,"The spider book; a manual for the study of the spiders and their near relatives, the scorpions, pseudoscorpions, whip-scorpions, harvestmen, and other members of the class Arachnida, found in America north of Mexico",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Metepeira labyrinthea,journal,bibliographic,,Quantitative Studies in the Food of Spiders,verified,openalex,"not found in Crossref, but OpenAlex holds a matching article (100% title similarity)"
Metepeira labyrinthea,journal,doi,10.1242/jeb.02682,Adhesive recruitment by the viscous capture threads of araneoid orb-weaving spiders,verified,crossref,title matches record (100% similarity)
Metepeira labyrinthea,journal,bibliographic,,"Predation by a commensal spider, Argyrodes trigonum, upon its host : An experimental study",verified,openalex,"not found in Crossref, but OpenAlex holds a matching article (100% title similarity)"
Fritz Busch,news,bibliographic,,"Hans Busch, 82, Stage Director of the Indiana University Opera",not_found,crossref+openalex,"no indexed record matches this description. Closest was ""Université et identité territoriale dans les Alpes, l'exemple du Haut Adige - Südtirol / The university and territorial identity in the Alps : the example of Haut Adige, in the Southern Tyrol"" at 44% similarity, below the threshold for a match."
Fritz Busch,journal,bibliographic,,"Fritz Busch, 1890–1951",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Fritz Busch,book,bibliographic,,Opera on Record,verified,openalex,"not found in Crossref, but OpenAlex holds a matching book (100% title similarity)"
Fritz Busch,book,bibliographic,,Pages from a Musician's Life,verified,openalex,"not found in Crossref, but OpenAlex holds a matching book (100% title similarity)"
Fritz Busch,book,doi,10.1093/gmo/9781561592630.article.04423,Grove Music Online,verified,crossref,title similarity low (34%) but authors agree (100%) — likely the same work recorded differently
Fritz Busch,book,bibliographic,,Toscanini in Britain,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Fritz Busch,journal,doi,10.2307/961561,The Heartbeat of the Performance,verified,crossref,title matches record (100% similarity)
Fritz Busch,book,bibliographic,,The Twisted Muse: Musicians and Their Music in the Third Reich,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Xanthodaphne levis,journal,doi,10.11646/zootaxa.682.1.1,Catalog of recent and fossil turrids (Mollusca: Gastropoda),verified,crossref,title matches record (100% similarity)
Filibuster in the United States Senate,report,bibliographic,,Filibusters and Cloture in the Senate,verified,openalex,"not found in Crossref, but OpenAlex holds a matching report (100% title similarity)"
Filibuster in the United States Senate,book,bibliographic,,Riddick's Senate Procedure,verified,openalex,"not found in Crossref, but OpenAlex holds a matching article (100% title similarity)"
Filibuster in the United States Senate,report,bibliographic,,Standing Rules of the Senate,verified,openalex,"not found in Crossref, but OpenAlex holds a matching book (100% title similarity)"
Filibuster in the United States Senate,web,bibliographic,,7 myths about the filibuster,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Managerial marketing and behavioral marketing: when myths about marketing management and consumer behavior lead to a misconception of the discipline' at 70% similarity, below the threshold for a match."
Filibuster in the United States Senate,report,bibliographic,,The Legislative Process on the Senate Floor: An Introduction,verified,crossref,matched a Crossref record by title search (83% similarity); no DOI given in document
Filibuster in the United States Senate,web,bibliographic,,Aaron Burr is not to blame for the Senate filibuster,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Filibuster in the United States Senate,journal,doi,10.2307/2147507,Unlimited Debate in the Senate: The First Phase,verified,crossref,title matches record (100% similarity)
Filibuster in the United States Senate,report,bibliographic,,The Previous Question – Its Standing as a Precedent for Cloture in the United States Senate,verified,crossref,matched a Crossref record by title search (76% similarity); no DOI given in document
Alan M. Leslie,book,bibliographic,,"Members of the American Academy &ndash; listed by election year, 2000&ndash;2017: Elected in 2008",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Formation and Magnetic Properties of Bulk Glassy Fe&amp;ndash;Co&amp;ndash;Nd&amp;ndash;Dy&amp;ndash;B Alloys with High Boron Concentrations' at 43% similarity, below the threshold for a match."
Alan M. Leslie,journal,doi,10.1016/0010-0277(85)90022-8,"Does the autistic child have a ""theory of mind""?",verified,crossref,title matches record (100% similarity)
Alan M. Leslie,web,bibliographic,,Sarah-Jane Leslie,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Mellon, Mrs. Sarah Jane, formerly Sarah Jane Woolgar (1824–1909)' at 74% similarity, below the threshold for a match."
Alan M. Leslie,web,bibliographic,,Sarah-Jane Leslie named dean of the Graduate School,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Peter Salovey named Dean of the Graduate School at Yale' at 79% similarity, below the threshold for a match."
Alan M. Leslie,journal,doi,10.1037/0033-295x.94.4.412,"Pretense and representation: The origins of ""theory of mind""",verified,crossref,title matches record (100% similarity)
Elaphomyces granulatus,web,bibliographic,,Elaphomyces granulatus,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Elaphomyces granulatus,book,bibliographic,,Ascomycete Fungi of North America: A Mushroom Reference Guide,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Elaphomyces granulatus,book,bibliographic,,"Handbook of British Fungi: With Full Descriptions of All the Species, and Illustrations of the Genera",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Elaphomyces granulatus,journal,doi,10.1016/s0007-1536(67)80069-x,The identity of Elaphomyces granulatus,verified,crossref,title matches record (100% similarity)
Elaphomyces granulatus,web,bibliographic,,Handbuch der medicinisch-pharmaceutischen Botanik; nach den natürlichen Familien des Gewächsreiches,not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Elaphomyces granulatus,book,bibliographic,,The Elements of Materia Medica and Therapeutics,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
"Kenindee, Yanda",journal,doi,10.5194/hess-11-1633-2007,Updated world map of the Köppen–Geiger climate classification,verified,crossref,title matches record (100% similarity)
Ignatius Ni'matallah,web,bibliographic,,"Niʿmatullah, Ignatius",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Fatal and Nonfatal Events Within 14 days After Early, Intensive Mobilization Poststroke' at 23% similarity, below the threshold for a match."
Ignatius Ni'matallah,web,bibliographic,,Whose Science is Arabic Science in Renaissance Europe?,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Islamic Science and the Making of the European Renaissance' at 71% similarity, below the threshold for a match."
Ignatius Ni'matallah,book,bibliographic,,The Scattered Pearls: A History of Syriac Literature and Sciences,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Ignatius Ni'matallah,book,bibliographic,,History of the Za'faran Monastery,verified,crossref,matched a Crossref record by title search (99% similarity); no DOI given in document
Ignatius Ni'matallah,book,bibliographic,,The History of Tur Abdin,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Ignatius Ni'matallah,book,bibliographic,,The Collected Historical Essays of Aphram I Barsoum,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Ignatius Ni'matallah,journal,bibliographic,,A List of the Syrian Orthodox Patriarchs between 16th and 18th Century: A Historical Supplement to Michael the Syrian's Chronicle in a MS. of Sadad,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'A List of Syriac Orthodox Ecclesiastic Ordinations from the Sixteenth and Seventeenth Century' at 60% similarity, below the threshold for a match."
Ignatius Ni'matallah,book,bibliographic,,"A List of Syriac Orthodox Ecclesiastic Ordinations from the Sixteenth and Seventeenth Century: The Syriac Manuscript of Hunt 444 (Syr 68 in Bodleian Library, Oxford)",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Painted greenling,journal,bibliographic,,Family Hexagrammidae Gill 1889 Greenlings,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'The Mosse Family in Berlin:' at 45% similarity, below the threshold for a match."
Painted greenling,book,bibliographic,,Fishes of the World,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Painted greenling,journal,doi,10.1186/s12862-017-0958-3,Phylogenetic classification of bony fishes,verified,crossref,title matches record (100% similarity)
Painted greenling,web,bibliographic,,Order Perciformes: Suborder Cottoidea: Infraorder Hexagrammales: Family Hexagrammidae,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Part 5 Order: ARTIODACTYLA Suborder: <i>RUMINANTIA</i> Infraorder: <i>Pecora</i> Family: Giraffidae Genus: <i>Giraffa</i>' at 65% similarity, below the threshold for a match."
Painted greenling,web,bibliographic,,Painted Greenling,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Painted greenling,web,bibliographic,,Painted greenling; convictfish Oxylebius pictus,not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Trichorhina bicolor,web,bibliographic,,"World List of Marine, Freshwater and Terrestrial Isopod Crustaceans - Trichorhina bicolor Araujo & Buckup, 1996",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Guide to the marine isopod crustaceans of the Caribbean' at 71% similarity, below the threshold for a match."
Trichorhina bicolor,journal,doi,10.1590/1678-4766e2017034,"New species and new records of terrestrial isopods (Crustacea, Isopoda, Oniscidea) from Brazil",verified,crossref,title matches record (100% similarity)
Binning (metagenomics),journal,doi,10.1099/mgen.0.000436,Metagenome-assembled genome binning methods with short reads disproportionately fail for plasmids and genomic Islands,verified,crossref,title matches record (100% similarity)
Binning (metagenomics),journal,doi,10.1038/nrmicro1160,The metagenomics of soil,verified,crossref,title matches record (100% similarity)
Binning (metagenomics),journal,doi,10.1093/bioinformatics/btz848,GTDB-Tk: a toolkit to classify genomes with the Genome Taxonomy Database,verified,crossref,title matches record (100% similarity)
Binning (metagenomics),journal,doi,10.1038/345060a0,Genetic diversity in Sargasso Sea bacterioplankton,verified,crossref,title matches record (100% similarity)
Binning (metagenomics),journal,doi,10.1038/nmeth976,Accurate phylogenetic classification of variable-length DNA fragments,verified,crossref,title matches record (100% similarity)
Binning (metagenomics),journal,doi,10.1093/bib/bbac431,binny: an automated binning algorithm to recover high-quality genomes from complex metagenomic datasets,verified,crossref,title matches record (100% similarity)
Binning (metagenomics),journal,doi,10.1038/s41587-020-0718-6,A genomic catalog of Earth's microbiomes,verified,crossref,title matches record (100% similarity)
Binning (metagenomics),journal,doi,10.1073/pnas.91.26.12837,Heterogeneity of genomes: measures and values,verified,crossref,title matches record (100% similarity)
Budu (sauce),journal,doi,10.31098/ihsatec.v14i1.499,Effect of amino acids and taste components on the fermented fish sauce (Budu) from Thailand,verified,crossref,title matches record (100% similarity)
Budu (sauce),journal,doi,10.3390/molecules17055062,"Tentative Identification of Volatile Flavor Compounds in Commercial Budu, a Malaysian Fish Sauce, Using GC-MS",verified,crossref,title matches record (100% similarity)
Budu (sauce),news,bibliographic,,Intangible Heritage Objects,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Intangible Natural Heritage: An Introduction: Eric Dorfman' at 83% similarity, below the threshold for a match."
Budu (sauce),web,bibliographic,,List of Uric Acid Foods,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Mangiferin reduces uric acid via regulation of amino acid and lipid metabolism' at 69% similarity, below the threshold for a match."
Budu (sauce),journal,doi,10.1196/annals.1299.073,Peptides from anchovy sauce induce apoptosis in a human lymphoma cell (U937) through the increase of caspase-3 and −8 activities,verified,crossref,title matches record (100% similarity)
Budu (sauce),news,bibliographic,,More evidence that fish is brain food,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'More Evidence Suggests Fish Is Good for Brain Health' at 84% similarity, below the threshold for a match."
Budu (sauce),web,bibliographic,,Budu dalam bentuk debu,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Analisis Bentuk dan Fungsi Unsur Negasi Dalam Struktur Sintaksis Antologi Puisi Chairil Anwar “Deru Campur Debu”' at 87% similarity, below the threshold for a match."
Budu (sauce),book,bibliographic,,"A Grammar and Dictionary of the Malay Language, With a Preliminary Dissertation, Vol II",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'On Language as a Test of the Races of Man' at 62% similarity, below the threshold for a match."
Union of the Workers of Slovakia,web,bibliographic,,VEC: Audit politickej strany (SUBJECT: Audit of a political party),not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Subject Index' at 70% similarity, below the threshold for a match."
Union of the Workers of Slovakia,book,bibliographic,,Regierungssysteme Zentral- und Osteuropas,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Union of the Workers of Slovakia,journal,bibliographic,,Současná Slovenská politika,not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Union of the Workers of Slovakia,book,doi,10.4135/9781608717576,Political Handbook of the World 2011,verified,crossref,title matches record (100% similarity)
Union of the Workers of Slovakia,web,bibliographic,,Zdru?Enie Robotn?Kov Slovenska - ?Stredn? Rada,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Sodobna slovenska poezija v vrtcu' at 59% similarity, below the threshold for a match."
Languages of Malaysia,web,bibliographic,,In Personam: Malay Language Usage in the Malaysian Courts,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Language Alternation in Kenyan and Malaysian Courts' at 75% similarity, below the threshold for a match."
Languages of Malaysia,web,bibliographic,,Languages of Malaysia,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Integrasi Nasional dalam Novel Kanak-Kanak Terpilih' at 42% similarity, below the threshold for a match."
Languages of Malaysia,web,bibliographic,,Languages of Malaysia (Peninsular),verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Languages of Malaysia,book,bibliographic,,The Austronesian Languages of Asia and Madagascar,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Languages of Malaysia,book,bibliographic,,Current Multilingualism: A New Linguistic Dispensation,not_found,crossref+openalex,"no indexed record matches this description. Closest was '13 Linguistic quandary in multilingual Malaysia: Socio-political issues, language policy, educational changes' at 48% similarity, below the threshold for a match."
Languages of Malaysia,journal,doi,10.1163/22134379-90003253,Malay Dialect Research in Malaysia: The Issue of Perspective,verified,crossref,title matches record (99% similarity)
Languages of Malaysia,book,bibliographic,,A History of Malaysia,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Languages of Malaysia,book,bibliographic,,The Austronesian Languages of Asia and Madagascar,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Lady Constance Malleson,journal,doi,10.15173/russell.v0i4.1435,"Lady Constance Malleson, ""Colette O'Niel""",verified,crossref,title matches record (100% similarity)
Lady Constance Malleson,book,bibliographic,,The Life of Bertrand Russell,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Lady Constance Malleson,news,bibliographic,,Decree Against and Actor - Malleson vs Malleson,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Malleson, (William) Miles (1888–1969), actor and playwright' at 67% similarity, below the threshold for a match."
Lady Constance Malleson,news,bibliographic,,Obituary - Miss Colette O'Niel: Actress and writer,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Bron, Eleanor, actress and writer' at 73% similarity, below the threshold for a match."
